x coord, y coord, z coord, scalar 
1.01431, 0.620285, 0, 0.00791999
1.01431, 1.2027, 0, 0.00677175
1.01431, 1.78511, 0, 0.00596978
4.5, 2.15605, 0, 0.00712167
4.5, 2.69231, 0, 0.00829939
4.5, 3.22857, 0, 0.00919798
7.98569, 3.69181, 0, 0.00757689
7.98569, 4.18192, 0, 0.00715945
7.98569, 4.67202, 0, 0.00597766
1.01431, 2.12407, 0, 0.00673526
1.01431, 2.70648, 0, 0.00985068
1.01431, 3.2889, 0, 0.0105465
4.5, 3.54066, 0, 0.00995115
4.5, 4.07692, 0, 0.00959011
4.5, 4.61318, 0, 0.00728694
7.98569, 4.95726, 0, 0.00636803
7.98569, 5.44736, 0, 0.00735228
7.98569, 5.93747, 0, 0.00724241
1.01431, 3.62785, 0, 0.0105132
1.01431, 4.21027, 0, 0.0102557
1.01431, 4.79268, 0, 0.00796888
4.5, 4.92528, 0, 0.00681741
4.5, 5.46154, 0, 0.00797903
4.5, 5.9978, 0, 0.00800998
7.98569, 6.2227, 0, 0.00689006
7.98569, 6.71281, 0, 0.00671858
7.98569, 7.20292, 0, 0.00614375
1.01431, 5.13164, 0, 0.00774869
1.01431, 5.71405, 0, 0.00877527
1.01431, 6.29646, 0, 0.00810407
4.5, 6.30989, 0, 0.00789674
4.5, 6.84615, 0, 0.00770513
4.5, 7.38241, 0, 0.00706888
7.98569, 7.48815, 0, 0.00548935
7.98569, 7.97826, 0, 0.00544581
7.98569, 8.46836, 0, 0.00578154
1.01431, 6.63542, 0, 0.00761409
1.01431, 7.21783, 0, 0.00747378
1.01431, 7.80025, 0, 0.00702198
4.5, 7.69451, 0, 0.00672725
4.5, 8.23077, 0, 0.0067311
4.5, 8.76703, 0, 0.00679085
7.98569, 8.7536, 0, 0.00598776
7.98569, 9.2437, 0, 0.00639972
7.98569, 9.73381, 0, 0.00730516
1.01431, 8.13921, 0, 0.00709275
1.01431, 8.72162, 0, 0.0074752
1.01431, 9.30403, 0, 0.00736926
4.5, 9.07913, 0, 0.00731796
4.5, 9.61538, 0, 0.0079772
4.5, 10.1516, 0, 0.00821837
7.98569, 10.019, 0, 0.00795244
7.98569, 10.5092, 0, 0.00782105
7.98569, 10.9993, 0, 0.00737264
1.01431, 9.64299, 0, 0.00720426
1.01431, 10.2254, 0, 0.00680827
1.01431, 10.8078, 0, 0.00603568
4.5, 10.4637, 0, 0.00788862
4.5, 11, 0, 0.00707646
4.5, 11.5363, 0, 0.00626547
7.98569, 11.2845, 0, 0.00702184
7.98569, 11.7746, 0, 0.00693211
7.98569, 12.2647, 0, 0.00700212
1.01431, 11.1468, 0, 0.00560015
1.01431, 11.7292, 0, 0.00539082
1.01431, 12.3116, 0, 0.00535732
4.5, 11.8484, 0, 0.00583825
4.5, 12.3846, 0, 0.00585404
4.5, 12.9209, 0, 0.00596482
7.98569, 12.5499, 0, 0.00700877
7.98569, 13.04, 0, 0.00682643
7.98569, 13.5301, 0, 0.00667061
1.01431, 12.6506, 0, 0.00538688
1.01431, 13.233, 0, 0.00534321
1.01431, 13.8154, 0, 0.00510871
4.5, 13.233, 0, 0.00607058
4.5, 13.7692, 0, 0.00609178
4.5, 14.3055, 0, 0.00589903
7.98569, 13.8154, 0, 0.00661811
7.98569, 14.3055, 0, 0.00633333
7.98569, 14.7956, 0, 0.00589718
1.01431, 14.1543, 0, 0.00516046
1.01431, 14.7368, 0, 0.00541635
1.01431, 15.3192, 0, 0.00523175
4.5, 14.6176, 0, 0.00556872
4.5, 15.1538, 0, 0.00498221
4.5, 15.6901, 0, 0.00440403
7.98569, 15.0808, 0, 0.00544913
7.98569, 15.5709, 0, 0.00469595
7.98569, 16.061, 0, 0.00416503
1.01431, 15.6581, 0, 0.00500579
1.01431, 16.2405, 0, 0.00478883
1.01431, 16.823, 0, 0.00477371
4.5, 16.0022, 0, 0.00424067
4.5, 16.5385, 0, 0.00416659
4.5, 17.0747, 0, 0.00412903
7.98569, 16.3463, 0, 0.00404793
7.98569, 16.8364, 0, 0.00401144
7.98569, 17.3265, 0, 0.00389251
1.01431, 17.1619, 0, 0.00481354
1.01431, 17.7443, 0, 0.00465306
1.01431, 18.3267, 0, 0.0043615
4.5, 17.3868, 0, 0.00415583
4.5, 17.9231, 0, 0.00409289
4.5, 18.4593, 0, 0.00391913
7.98569, 17.6117, 0, 0.00379274
7.98569, 18.1018, 0, 0.00364722
7.98569, 18.5919, 0, 0.00344722
1.01431, 18.6657, 0, 0.00423213
1.01431, 19.2481, 0, 0.00406918
1.01431, 19.8305, 0, 0.0038965
4.5, 18.7714, 0, 0.00385432
4.5, 19.3077, 0, 0.00377496
4.5, 19.844, 0, 0.00362756
7.98569, 18.8772, 0, 0.00338145
7.98569, 19.3673, 0, 0.00338952
7.98569, 19.8574, 0, 0.00328366
14.3238, 19.8921, 0, 0.000965472
14.3238, 19.5211, 0, 0.00123872
14.3238, 19.1502, 0, 0.00142709
12, 19.8786, 0, 0.00187012
12, 19.4615, 0, 0.002156
12, 19.0444, 0, 0.00232166
9.67621, 19.8652, 0, 0.00272345
9.67621, 19.402, 0, 0.0030053
9.67621, 18.9387, 0, 0.00316613
14.3238, 18.9343, 0, 0.0015389
14.3238, 18.5634, 0, 0.00181495
14.3238, 18.1924, 0, 0.00209437
12, 18.8017, 0, 0.00244386
12, 18.3846, 0, 0.00276476
12, 17.9675, 0, 0.00305986
9.67621, 18.6691, 0, 0.0033146
9.67621, 18.2059, 0, 0.00367437
9.67621, 17.7426, 0, 0.00400879
14.3238, 17.9766, 0, 0.0022407
14.3238, 17.6056, 0, 0.00254997
14.3238, 17.2347, 0, 0.00282822
12, 17.7248, 0, 0.00326441
12, 17.3077, 0, 0.00356976
12, 16.8906, 0, 0.00376065
9.67621, 17.473, 0, 0.004243
9.67621, 17.0098, 0, 0.00443558
9.67621, 16.5465, 0, 0.0044961
14.3238, 17.0188, 0, 0.00295492
14.3238, 16.6479, 0, 0.00309305
14.3238, 16.2769, 0, 0.0031854
12, 16.6479, 0, 0.00388571
12, 16.2308, 0, 0.00410077
12, 15.8137, 0, 0.00432274
9.67621, 16.2769, 0, 0.00460688
9.67621, 15.8137, 0, 0.00495134
9.67621, 15.3504, 0, 0.00545237
14.3238, 16.061, 0, 0.00328282
14.3238, 15.6901, 0, 0.0036279
14.3238, 15.3192, 0, 0.00402285
12, 15.5709, 0, 0.00448058
12, 15.1538, 0, 0.00495107
12, 14.7368, 0, 0.00543982
9.67621, 15.0808, 0, 0.00575346
9.67621, 14.6176, 0, 0.00630707
9.67621, 14.1543, 0, 0.0067809
14.3238, 15.1033, 0, 0.00427538
14.3238, 14.7324, 0, 0.00441555
14.3238, 14.3614, 0, 0.00452839
12, 14.494, 0, 0.00564897
12, 14.0769, 0, 0.00598933
12, 13.6598, 0, 0.00628506
9.67621, 13.8847, 0, 0.00694366
9.67621, 13.4215, 0, 0.00731375
9.67621, 12.9583, 0, 0.00764597
14.3238, 14.1455, 0, 0.00471713
14.3238, 13.7746, 0, 0.00502533
14.3238, 13.4037, 0, 0.00519562
12, 13.4171, 0, 0.00626116
12, 13, 0, 0.0064033
12, 12.5829, 0, 0.00652931
9.67621, 12.6886, 0, 0.00739013
9.67621, 12.2254, 0, 0.00711949
9.67621, 11.7622, 0, 0.00698855
14.3238, 13.1878, 0, 0.00532583
14.3238, 12.8168, 0, 0.00525467
14.3238, 12.4459, 0, 0.00506599
12, 12.3402, 0, 0.00650489
12, 11.9231, 0, 0.00616707
12, 11.506, 0, 0.00563203
9.67621, 11.4926, 0, 0.00720116
9.67621, 11.0293, 0, 0.00746938
9.67621, 10.5661, 0, 0.00747922
14.3238, 12.23, 0, 0.00511026
14.3238, 11.8591, 0, 0.00527087
14.3238, 11.4882, 0, 0.00511435
12, 11.2632, 0, 0.00545347
12, 10.8462, 0, 0.00581262
12, 10.4291, 0, 0.0062882
9.67621, 10.2965, 0, 0.00691464
9.67621, 9.83322, 0, 0.00610102
9.67621, 9.36997, 0, 0.0057759
14.3238, 11.2723, 0, 0.00473975
