x coord, y coord, z coord, scalar 
0.303885, 0.168597, 0, 0
0.303885, 0.303312, 0, 0
0.303885, 0.51318, 0, 0
0.303885, 0.750187, 0, 0
0.303885, 0.960055, 0, 0
0.303885, 1.09477, 0, 0
1.52456, 0.710203, 0, 0
1.52456, 0.841239, 0, 0
1.52456, 1.04538, 0, 0
1.52456, 1.27591, 0, 0
1.52456, 1.48005, 0, 0
1.52456, 1.61108, 0, 0
3.42621, 1.55396, 0, 0
3.42621, 1.67926, 0, 0
3.42621, 1.87447, 0, 0
3.42621, 2.09492, 0, 0
3.42621, 2.29013, 0, 0
3.42621, 2.41543, 0, 0
5.57379, 2.50682, 0, 0
5.57379, 2.62565, 0, 0
5.57379, 2.81078, 0, 0
5.57379, 3.01984, 0, 0
5.57379, 3.20496, 0, 0
5.57379, 3.32379, 0, 0
7.47544, 3.35057, 0, 0
7.47544, 3.46367, 0, 0
7.47544, 3.63987, 0, 0
7.47544, 3.83885, 0, 0
7.47544, 4.01504, 0, 0
7.47544, 4.12814, 0, 0
8.69611, 3.89218, 0, 0
8.69612, 4.0016, 0, 0
8.69612, 4.17206, 0, 0
8.69612, 4.36457, 0, 0
8.69612, 4.53503, 0, 0
8.69611, 4.64445, 0, 0
0.303885, 1.16184, 0, 0
0.303885, 1.29656, 0, 0
0.303885, 1.50643, 0, 0
0.303885, 1.74343, 0, 0
0.303885, 1.9533, 0, 0
0.303885, 2.08802, 0, 0
1.52456, 1.67632, 0, 0
1.52456, 1.80736, 0, 0
1.52456, 2.0115, 0, 0
1.52456, 2.24203, 0, 0
1.52456, 2.44617, 0, 0
1.52456, 2.5772, 0, 0
3.42621, 2.47782, 0, 0
3.42621, 2.60312, 0, 0
3.42621, 2.79833, 0, 0
3.42621, 3.01878, 0, 0
3.42621, 3.21399, 0, 0
3.42621, 3.33929, 0, 0
5.57379, 3.38296, 0, 0
5.57379, 3.50179, 0, 0
5.57379, 3.68691, 0, 0
5.57379, 3.89598, 0, 0
5.57379, 4.0811, 0, 0
5.57379, 4.19993, 0, 0
7.47544, 4.18445, 0, 0
7.47544, 4.29755, 0, 0
7.47544, 4.47375, 0, 0
7.47544, 4.67273, 0, 0
7.47544, 4.84892, 0, 0
7.47544, 4.96202, 0, 0
8.69611, 4.69893, 0, 0
8.69612, 4.80835, 0, 0
8.69612, 4.97882, 0, 0
8.69612, 5.17132, 0, 0
8.69612, 5.34179, 0, 0
8.69611, 5.45121, 0, 0
0.303885, 2.15509, 0, 0
0.303885, 2.28981, 0, 0
0.303885, 2.49967, 0, 0
0.303885, 2.73668, 0, 0
0.303885, 2.94655, 0, 0
0.303885, 3.08126, 0, 0
1.52456, 2.64244, 0, 0
1.52456, 2.77348, 0, 0
1.52456, 2.97762, 0, 0
1.52456, 3.20815, 0, 0
1.52456, 3.41229, 0, 0
1.52456, 3.54332, 0, 0
3.42621, 3.40168, 0, 0
3.42621, 3.52698, 0, 0
3.42621, 3.72219, 0, 0
3.42621, 3.94264, 0, 0
3.42621, 4.13785, 0, 0
3.42621, 4.26315, 0, 0
5.57379, 4.2591, 0, 0
5.57379, 4.37793, 0, 0
5.57379, 4.56305, 0, 0
5.57379, 4.77211, 0, 0
5.57379, 4.95724, 0, 0
5.57379, 5.07607, 0, 0
7.47544, 5.01833, 0, 0
7.47544, 5.13143, 0, 0
7.47544, 5.30763, 0, 0
7.47544, 5.50661, 0, 0
7.47544, 5.6828, 0, 0
7.47544, 5.7959, 0, 0
8.69611, 5.50569, 0, 0
8.69612, 5.61511, 0, 0
8.69612, 5.78557, 0, 0
8.69612, 5.97808, 0, 0
8.69612, 6.14854, 0, 0
8.69611, 6.25796, 0, 0
0.303885, 3.14834, 0, 0
0.303885, 3.28305, 0, 0
0.303885, 3.49292, 0, 0
0.303885, 3.72993, 0, 0
0.303885, 3.9398, 0, 0
0.303885, 4.07451, 0, 0
1.52456, 3.60857, 0, 0
1.52456, 3.7396, 0, 0
1.52456, 3.94374, 0, 0
1.52456, 4.17427, 0, 0
1.52456, 4.37841, 0, 0
1.52456, 4.50944, 0, 0
3.42621, 4.32554, 0, 0
3.42621, 4.45085, 0, 0
3.42621, 4.64605, 0, 0
3.42621, 4.8665, 0, 0
3.42621, 5.06171, 0, 0
3.42621, 5.18702, 0, 0
5.57379, 5.13524, 0, 0
5.57379, 5.25407, 0, 0
5.57379, 5.43919, 0, 0
5.57379, 5.64825, 0, 0
5.57379, 5.83338, 0, 0
5.57379, 5.95221, 0, 0
7.47544, 5.85221, 0, 0
7.47544, 5.96531, 0, 0
7.47544, 6.14151, 0, 0
7.47544, 6.34048, 0, 0
7.47544, 6.51668, 0, 0
7.47544, 6.62978, 0, 0
8.69611, 6.31244, 0, 0
8.69612, 6.42186, 0, 0
8.69612, 6.59232, 0, 0
8.69612, 6.78483, 0, 0
8.69612, 6.95529, 0, 0
8.69611, 7.06471, 0, 0
