x coord, y coord, z coord, scalar 
0.0303885, 0.0472696, 0, 0
0.0303885, 0.182893, 0, 0
0.0303885, 0.394171, 0, 0
0.0303885, 0.632764, 0, 0
0.0303885, 0.84403, 0, 0
0.0303885, 0.979638, 0, 0
0.152456, 0.101513, 0, 0
0.152456, 0.237092, 0, 0
0.152456, 0.448282, 0, 0
0.152456, 0.686745, 0, 0
0.152456, 0.897869, 0, 0
0.152456, 1.03337, 0, 0
0.342621, 0.186005, 0, 0
0.342621, 0.32147, 0, 0
0.342621, 0.532451, 0, 0
0.342621, 0.770631, 0, 0
0.342621, 0.981464, 0, 0
0.342621, 1.11676, 0, 0
0.557379, 0.281406, 0, 0
0.557379, 0.416676, 0, 0
0.557379, 0.627316, 0, 0
0.557379, 0.865058, 0, 0
0.557379, 1.07546, 0, 0
0.557379, 1.21045, 0, 0
0.747544, 0.365869, 0, 0
0.747544, 0.500905, 0, 0
0.747544, 0.71115, 0, 0
0.747544, 0.948401, 0, 0
0.747544, 1.15832, 0, 0
0.747544, 1.29299, 0, 0
0.869611, 0.420078, 0, 0
0.869612, 0.554936, 0, 0
0.869611, 0.764881, 0, 0
0.869611, 1.00176, 0, 0
0.869612, 1.21133, 0, 0
0.869611, 1.34576, 0, 0
0.930388, 0.447065, 0, 0
0.930388, 0.58182, 0, 0
0.930388, 0.791599, 0, 0
0.930388, 1.02828, 0, 0
0.930388, 1.23767, 0, 0
0.930388, 1.37197, 0, 0
1.05246, 0.50126, 0, 0
1.05246, 0.635786, 0, 0
1.05246, 0.8452, 0, 0
1.05246, 1.08146, 0, 0
1.05246, 1.29047, 0, 0
1.05246, 1.42452, 0, 0
1.24262, 0.585681, 0, 0
1.24262, 0.719813, 0, 0
1.24262, 0.928604, 0, 0
1.24262, 1.16415, 0, 0
1.24262, 1.3725, 0, 0
1.24262, 1.50613, 0, 0
1.45738, 0.681006, 0, 0
1.45738, 0.814641, 0, 0
1.45738, 1.02265, 0, 0
1.45738, 1.25728, 0, 0
1.45738, 1.46482, 0, 0
1.45738, 1.59792, 0, 0
1.64754, 0.765404, 0, 0
1.64754, 0.898553, 0, 0
1.64754, 1.10579, 0, 0
1.64754, 1.33954, 0, 0
1.64754, 1.54628, 0, 0
1.64754, 1.67886, 0, 0
1.76961, 0.819573, 0, 0
1.76961, 0.952387, 0, 0
1.76961, 1.15909, 0, 0
1.76961, 1.39224, 0, 0
1.76961, 1.59843, 0, 0
1.76961, 1.73066, 0, 0
1.83039, 0.846541, 0, 0
1.83039, 0.979178, 0, 0
1.83039, 1.18561, 0, 0
1.83039, 1.41844, 0, 0
1.83039, 1.62436, 0, 0
1.83039, 1.7564, 0, 0
1.95246, 0.9007, 0, 0
1.95246, 1.03296, 0, 0
1.95246, 1.23882, 0, 0
1.95246, 1.471, 0, 0
1.95246, 1.67635, 0, 0
1.95246, 1.80803, 0, 0
2.14262, 0.985067, 0, 0
2.14262, 1.11672, 0, 0
2.14262, 1.32164, 0, 0
2.14262, 1.55277, 0, 0
2.14262, 1.75719, 0, 0
2.14262, 1.88828, 0, 0
2.35738, 1.08033, 0, 0
2.35738, 1.21127, 0, 0
2.35738, 1.41506, 0, 0
2.35738, 1.64494, 0, 0
2.35738, 1.84825, 0, 0
2.35738, 1.97864, 0, 0
2.54754, 1.16468, 0, 0
2.54754, 1.29495, 0, 0
2.54754, 1.4977, 0, 0
2.54754, 1.7264, 0, 0
2.54754, 1.92869, 0, 0
2.54754, 2.05842, 0, 0
2.66961, 1.21882, 0, 0
2.66961, 1.34864, 0, 0
2.66961, 1.55069, 0, 0
2.66961, 1.77862, 0, 0
2.66961, 1.98022, 0, 0
2.66961, 2.10951, 0, 0
2.73039, 1.24578, 0, 0
2.73039, 1.37536, 0, 0
2.73039, 1.57706, 0, 0
2.73039, 1.80459, 0, 0
2.73039, 2.00585, 0, 0
2.73039, 2.13492, 0, 0
2.85246, 1.29991, 0, 0
2.85246, 1.42902, 0, 0
2.85246, 1.62999, 0, 0
2.85246, 1.85672, 0, 0
2.85246, 2.05727, 0, 0
2.85246, 2.1859, 0, 0
3.04262, 1.38424, 0, 0
3.04262, 1.5126, 0, 0
3.04262, 1.71241, 0, 0
3.04262, 1.93785, 0, 0
3.04262, 2.13729, 0, 0
3.04262, 2.26521, 0, 0
3.25738, 1.47947, 0, 0
3.25738, 1.60695, 0, 0
3.25738, 1.80543, 0, 0
3.25738, 2.02938, 0, 0
3.25738, 2.22752, 0, 0
3.25738, 2.35462, 0, 0
3.44754, 1.56379, 0, 0
3.44754, 1.69048, 0, 0
3.44754, 1.88773, 0, 0
3.44754, 2.11033, 0, 0
3.44754, 2.30729, 0, 0
3.44754, 2.43365, 0, 0
3.56961, 1.61791, 0, 0
3.56961, 1.74408, 0, 0
3.56961, 1.94054, 0, 0
3.56961, 2.16225, 0, 0
3.56961, 2.35844, 0, 0
3.56961, 2.48431, 0, 0
3.63039, 1.64486, 0, 0
3.63039, 1.77077, 0, 0
3.63039, 1.96682, 0, 0
3.63039, 2.18809, 0, 0
3.63039, 2.38389, 0, 0
3.63039, 2.50951, 0, 0
3.75246, 1.69898, 0, 0
3.75246, 1.82436, 0, 0
3.75246, 2.01959, 0, 0
3.75246, 2.23996, 0, 0
