x coord, y coord, z coord, scalar 
0.303885, 0.186655, 0, 0
0.303885, 0.393909, 0, 0
0.303885, 0.716783, 0, 0
0.303885, 1.08141, 0, 0
0.303885, 1.40428, 0, 0
0.303885, 1.61154, 0, 0
1.52456, 0.727768, 0, 0
1.52456, 0.929361, 0, 0
1.52456, 1.24342, 0, 0
1.52456, 1.59809, 0, 0
1.52456, 1.91214, 0, 0
1.52456, 2.11374, 0, 0
3.42621, 1.57075, 0, 0
3.42621, 1.76353, 0, 0
3.42621, 2.06385, 0, 0
3.42621, 2.403, 0, 0
3.42621, 2.70332, 0, 0
3.42621, 2.8961, 0, 0
5.57379, 2.52275, 0, 0
5.57379, 2.70557, 0, 0
5.57379, 2.99037, 0, 0
5.57379, 3.31201, 0, 0
5.57379, 3.59681, 0, 0
5.57379, 3.77963, 0, 0
7.47544, 3.36573, 0, 0
7.47544, 3.53973, 0, 0
7.47544, 3.8108, 0, 0
7.47544, 4.11692, 0, 0
7.47544, 4.38799, 0, 0
7.47544, 4.56199, 0, 0
8.69611, 3.90685, 0, 0
8.69612, 4.07519, 0, 0
8.69612, 4.33744, 0, 0
8.69612, 4.6336, 0, 0
8.69612, 4.89585, 0, 0
8.69611, 5.06419, 0, 0
0.303885, 1.71473, 0, 0
0.303885, 1.92198, 0, 0
0.303885, 2.24485, 0, 0
0.303885, 2.60948, 0, 0
0.303885, 2.93236, 0, 0
0.303885, 3.13961, 0, 0
1.52456, 2.21411, 0, 0
1.52456, 2.4157, 0, 0
1.52456, 2.72976, 0, 0
1.52456, 3.08443, 0, 0
1.52456, 3.39848, 0, 0
1.52456, 3.60008, 0, 0
3.42621, 2.99208, 0, 0
3.42621, 3.18485, 0, 0
3.42621, 3.48517, 0, 0
3.42621, 3.82433, 0, 0
3.42621, 4.12465, 0, 0
3.42621, 4.31742, 0, 0
5.57379, 3.87065, 0, 0
5.57379, 4.05347, 0, 0
5.57379, 4.33828, 0, 0
5.57379, 4.65991, 0, 0
5.57379, 4.94472, 0, 0
5.57379, 5.12754, 0, 0
7.47544, 4.64863, 0, 0
7.47544, 4.82262, 0, 0
7.47544, 5.09369, 0, 0
7.47544, 5.39982, 0, 0
7.47544, 5.67088, 0, 0
7.47544, 5.84488, 0, 0
8.69611, 5.14801, 0, 0
8.69612, 5.31635, 0, 0
8.69612, 5.5786, 0, 0
8.69612, 5.87476, 0, 0
8.69612, 6.13701, 0, 0
8.69611, 6.30535, 0, 0
0.303885, 3.2428, 0, 0
0.303885, 3.45005, 0, 0
0.303885, 3.77293, 0, 0
0.303885, 4.13755, 0, 0
0.303885, 4.46043, 0, 0
0.303885, 4.66768, 0, 0
1.52456, 3.70045, 0, 0
1.52456, 3.90204, 0, 0
1.52456, 4.2161, 0, 0
1.52456, 4.57077, 0, 0
1.52456, 4.88482, 0, 0
1.52456, 5.08642, 0, 0
3.42621, 4.41341, 0, 0
3.42621, 4.60618, 0, 0
3.42621, 4.9065, 0, 0
3.42621, 5.24565, 0, 0
3.42621, 5.54597, 0, 0
3.42621, 5.73875, 0, 0
5.57379, 5.21856, 0, 0
5.57379, 5.40138, 0, 0
5.57379, 5.68618, 0, 0
5.57379, 6.00782, 0, 0
5.57379, 6.29262, 0, 0
5.57379, 6.47544, 0, 0
7.47544, 5.93152, 0, 0
7.47544, 6.10552, 0, 0
7.47544, 6.37658, 0, 0
7.47544, 6.68271, 0, 0
7.47544, 6.95377, 0, 0
7.47544, 7.12777, 0, 0
8.69611, 6.38916, 0, 0
